event_unique_id,division,occurrencedate,reporteddate,premisetype,occurrencehour,mci_category,neighbourhood
GO-2022364469,NSA,2021-11-01 5:00,2022-02-25 5:00,House,0,Sexual Violation,Unknown
GO-2022364614,D11,2021-07-03 5:00,2022-02-25 5:00,Apartment,20,Sexual Violation,High Park North
GO-2022364714,D43,2022-02-24 5:00,2022-02-25 5:00,Apartment,22,Break and Enter,Woburn
GO-2022364759,D14,2022-02-16 5:00,2022-02-25 5:00,Commercial,11,Break and Enter,South Parkdale
GO-2022364882,D53,2022-02-21 5:00,2022-02-25 5:00,Commercial,23,Break and Enter,Rosedale-Moore Park
GO-2022365,D31,2022-01-01 5:00,2022-01-01 5:00,Commercial,0,Assault,Humber Summit
GO-2022365077,D53,2022-02-08 5:00,2022-02-25 5:00,Apartment,22,Sexual Violation,Mount Pleasant West
GO-2022365144,D23,2022-02-25 5:00,2022-02-25 5:00,Commercial,12,Robbery,West Humber-Clairville
GO-2022365182,D32,2022-02-25 5:00,2022-02-25 5:00,Commercial,12,Robbery,Westminster-Branson
GO-2022365249,D31,2022-02-01 5:00,2022-02-25 5:00,House,12,Break and Enter,York University Heights
GO-2022366917,D22,2022-02-20 5:00,2022-02-25 5:00,House,0,Sexual Violation,Markland Wood
GO-2022367289,D53,2022-02-23 5:00,2022-02-25 5:00,Apartment,6,Break and Enter,Annex
GO-2022367336,D51,2022-02-25 5:00,2022-02-25 5:00,Other,18,Assault,Church-Yonge Corridor
GO-2022367523,D11,2022-02-25 5:00,2022-02-25 5:00,Apartment,9,Break and Enter,High Park North
GO-2022367911,D14,2022-02-25 5:00,2022-02-25 5:00,Transit,20,Assault,Dufferin Grove
GO-2022367934,D11,2022-02-25 5:00,2022-02-25 5:00,Commercial,20,Assault,Roncesvalles
GO-2022368029,D11,2011-02-01 5:00,2022-02-25 5:00,House,8,Sexual Violation,Roncesvalles
GO-2022368034,D22,2022-02-25 5:00,2022-02-25 5:00,Other,20,Break and Enter,Eringate-Centennial-West Deane
GO-2022368083,D31,2022-02-25 5:00,2022-02-25 5:00,Commercial,20,Assault,Black Creek
GO-2022368316,D32,2022-02-24 5:00,2022-02-25 5:00,House,23,Assault,Newtonbrook West
GO-2022368421,D22,2022-02-25 5:00,2022-02-25 5:00,Outside,22,Assault,Eringate-Centennial-West Deane
GO-2022368693,D41,2022-02-25 5:00,2022-02-25 5:00,Outside,23,Robbery,Wexford-Maryvale
GO-2022368759,D31,2020-01-01 5:00,2022-02-25 5:00,Apartment,12,Assault,Glenfield-Jane Heights
GO-2022368890,D23,2022-02-26 5:00,2022-02-26 5:00,Apartment,0,Assault,West Humber-Clairville
GO-2022368969,D32,2022-02-26 5:00,2022-02-26 5:00,Apartment,0,Assault,Newtonbrook West
GO-2022368982,D11,2022-02-25 5:00,2022-02-26 5:00,Apartment,21,Break and Enter,High Park North
GO-2022369045,D55,2022-02-26 5:00,2022-02-26 5:00,Commercial,0,Assault,Greenwood-Coxwell
GO-2022369063,D51,2022-02-26 5:00,2022-02-26 5:00,Apartment,1,Robbery,Moss Park
GO-2022369194,D23,2022-02-26 5:00,2022-02-26 5:00,Commercial,0,Assault,West Humber-Clairville
GO-202236920,D22,2022-01-06 5:00,2022-01-06 5:00,Outside,19,Assault,Stonegate-Queensway
GO-2022369226,D55,2022-02-26 5:00,2022-02-26 5:00,Apartment,1,Assault,Greenwood-Coxwell
GO-2022369227,D11,2022-02-26 5:00,2022-02-26 5:00,Apartment,1,Assault,Dovercourt-Wallace Emerson-Junction
GO-202236928,D11,2021-12-17 5:00,2022-01-06 5:00,Apartment,12,Assault,High Park North
GO-2022369300,D51,2022-02-26 5:00,2022-02-26 5:00,Commercial,2,Break and Enter,Cabbagetown-South St.James Town
